,country_or_area,year,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,short_name
913,Spain,2004,353472.61,,416918.89,8863.41,36137.97,,17983.47,261.64,199.78,,Spain
914,Spain,2005,368745.07,,431628.87,9753.37,35576.24,,17128.69,212.89,212.6,,Spain
915,Spain,2006,360063.34,,424564.73,10936.96,35804.81,,17328.95,198.65,232.01,,Spain
916,Spain,2007,367292.28,,433400.56,11660.92,36422.1,,17598.53,188.29,238.43,,Spain
917,Spain,2008,335994.8,,402316.75,14335.52,35588.35,,15970.88,182.19,245.0,,Spain
918,Spain,2009,296617.99,,365530.28,15493.07,37270.51,,15794.32,123.12,231.26,,Spain
919,Spain,2010,283581.4,,353724.69,18197.09,35291.21,,16311.83,108.26,234.9,,Spain
920,Spain,2011,283918.68,,353872.24,18523.61,35615.14,,15482.33,93.33,239.15,,Spain
921,Spain,2012,279830.31,,348556.43,18793.61,34614.99,,15039.61,57.91,220.01,,Spain
922,Spain,2013,252259.69,,320122.04,17904.06,34043.96,,15629.73,70.75,213.86,,Spain
923,Spain,2014,253466.92,,321744.07,17053.32,34450.65,,16499.63,66.11,207.44,,Spain
924,Sweden,1990,57546.54,71917.26,71917.26,4.6,7989.91,,5840.75,433.72,101.73,,Sweden
925,Sweden,1991,57755.63,72041.25,72041.25,9.36,7989.38,,5746.49,437.69,102.69,,Sweden
926,Sweden,1992,57482.06,71527.05,71527.05,11.82,8083.24,,5557.17,290.18,102.58,,Sweden
927,Sweden,1993,57425.95,71807.19,71807.19,38.43,8078.74,,5830.19,334.54,99.35,,Sweden
928,Sweden,1994,59877.0,74231.49,74231.49,87.02,7989.15,,5813.5,358.45,106.37,,Sweden
929,Sweden,1995,59318.67,74029.36,74029.36,149.18,7882.65,,6148.13,395.55,135.19,,Sweden
930,Sweden,1996,63238.79,77574.1,77574.1,235.27,7839.93,,5793.83,349.41,116.88,,Sweden
931,Sweden,1997,58154.53,72772.3,72772.3,352.79,7776.31,,6006.2,322.87,159.59,,Sweden
932,Sweden,1998,58733.41,73085.86,73085.86,435.27,7594.95,,5897.18,313.83,111.22,,Sweden
933,Sweden,1999,55861.22,70181.7,70181.7,549.65,7404.1,,5909.75,335.77,121.21,,Sweden
934,Sweden,2000,54730.42,68868.77,68868.77,631.37,7192.46,,5918.67,277.06,118.78,,Sweden
935,Sweden,2001,55686.75,69192.12,69192.12,683.19,7126.72,,5301.23,271.45,122.78,,Sweden
936,Sweden,2002,56631.9,70160.78,70160.78,743.11,6905.54,,5459.52,301.11,119.6,,Sweden
937,Sweden,2003,57203.6,70601.36,70601.36,790.72,6697.66,,5526.47,297.78,85.13,,Sweden
938,Sweden,2004,56428.8,69582.44,69582.44,856.75,6731.72,,5178.18,292.3,94.69,,Sweden
939,Sweden,2005,53859.21,66968.3,66968.3,880.32,6559.36,,5222.35,295.47,151.59,,Sweden
940,Sweden,2006,53697.66,66923.42,66923.42,913.25,6455.73,,5457.4,286.76,112.64,,Sweden
941,Sweden,2007,52911.73,65372.65,65372.65,937.99,6198.32,,4893.0,294.24,137.38,,Sweden
942,Sweden,2008,50831.58,63121.12,63121.12,968.04,5936.88,,5042.77,269.0,72.85,,Sweden
943,Sweden,2009,47267.45,59052.76,59052.76,973.2,5805.54,,4890.34,46.23,70.01,,Sweden
944,Sweden,2010,53057.73,64997.09,64997.09,950.24,5687.88,,5053.51,184.82,62.91,,Sweden
945,Sweden,2011,49133.59,60987.15,60987.15,915.23,5564.03,,5106.58,212.95,54.77,,Sweden
946,Sweden,2012,46559.64,57578.36,57578.36,869.97,5377.21,,4640.93,78.28,52.34,,Sweden
947,Sweden,2013,44899.15,55939.52,55939.52,838.55,5277.93,,4831.68,51.0,41.21,,Sweden
948,Sweden,2014,43404.9,54382.74,54382.74,807.11,5158.27,,4884.13,81.7,46.62,,Sweden
949,Switzerland,1990,44115.53,53719.98,53307.76,0.02,6086.29,,2852.38,116.52,137.01,,Switzerland
950,Switzerland,1991,46144.81,55639.72,55253.57,1.59,6023.59,,2845.88,98.51,139.21,,Switzerland
951,Switzerland,1992,45974.7,55328.42,54970.35,15.68,5943.52,,2814.45,80.61,141.39,,Switzerland
952,Switzerland,1993,43556.28,52653.14,52327.8,32.79,5835.38,,2748.12,34.7,120.53,,Switzerland
953,Switzerland,1994,42613.3,51621.02,51324.72,81.68,5783.91,,2718.08,20.87,106.89,,Switzerland
954,Switzerland,1995,43368.46,52478.76,52204.75,245.9,5776.09,,2703.57,17.49,93.23,,Switzerland
955,Switzerland,1996,44088.33,53186.29,52933.06,297.55,5736.94,,2699.74,20.42,90.07,,Switzerland
956,Switzerland,1997,42971.62,51912.01,51677.57,361.69,5594.11,,2604.88,21.03,124.24,,Switzerland
957,Switzerland,1998,44522.37,53492.75,53279.43,456.53,5523.55,,2600.54,23.83,152.61,,Switzerland
958,Switzerland,1999,44354.54,53236.27,53037.6,530.46,5422.28,,2564.81,25.58,139.91,,Switzerland
959,Switzerland,2000,43545.96,52503.41,52315.75,625.94,5388.97,,2561.2,49.9,143.79,,Switzerland
960,Switzerland,2001,45002.28,54082.87,53905.41,723.99,5429.09,,2577.45,27.82,144.78,,Switzerland
961,Switzerland,2002,43373.99,52481.14,52318.09,803.18,5395.27,,2554.43,32.87,158.36,,Switzerland
962,Switzerland,2003,44587.98,53687.27,53537.54,898.48,5317.73,,2507.1,61.67,164.58,,Switzerland
963,Switzerland,2004,45149.67,54308.74,54173.67,1020.51,5285.85,,2466.25,65.31,186.09,,Switzerland
964,Switzerland,2005,45778.09,54987.57,54858.05,1071.19,5302.88,,2458.51,44.19,203.19,,Switzerland
965,Switzerland,2006,45351.17,54609.76,54481.56,1118.3,5316.96,,2457.95,51.53,185.64,,Switzerland
966,Switzerland,2007,43360.39,52679.96,52555.34,1193.91,5296.65,,2483.67,49.11,171.6,,Switzerland
967,Switzerland,2008,44676.94,54210.03,54084.45,1243.1,5375.41,0.08,2508.84,57.91,222.16,,Switzerland
968,Switzerland,2009,43509.09,52900.82,52776.29,1253.07,5292.03,5.1,2474.37,62.99,179.65,,Switzerland
969,Switzerland,2010,45027.06,54498.09,54373.08,1329.36,5271.58,8.45,2524.08,64.57,147.98,,Switzerland
970,Switzerland,2011,40973.15,50420.47,50296.3,1410.15,5206.27,6.22,2473.2,67.78,159.53,,Switzerland
971,Switzerland,2012,42241.55,51759.67,51637.52,1489.05,5164.96,0.36,2461.36,71.33,208.91,,Switzerland
972,Switzerland,2013,43181.66,52641.22,52519.99,1513.19,5095.05,0.09,2425.57,51.96,252.46,,Switzerland
973,Switzerland,2014,39265.05,48737.87,48617.08,1500.98,5095.07,0.4,2452.85,43.88,258.84,,Switzerland
974,Turkey,1990,146750.64,207773.32,207773.32,,43820.36,,16509.56,692.77,,,Turkey
975,Turkey,1991,152335.17,214128.32,214128.32,,44842.01,,16096.6,854.54,,,Turkey
976,Turkey,1992,158571.55,220797.14,220797.14,,44659.26,,16784.42,781.92,,,Turkey
977,Turkey,1993,167443.15,230629.0,230629.0,,44556.55,,17842.71,786.58,,,Turkey
978,Turkey,1994,164623.55,224719.24,224719.24,,44126.26,,15275.77,693.65,,,Turkey
979,Turkey,1995,178812.41,239039.79,239039.79,,43881.32,,15753.18,592.88,,,Turkey
980,Turkey,1996,194751.78,256657.08,256657.08,,44230.78,,16720.6,597.28,356.64,,Turkey
981,Turkey,1997,208480.07,269942.5,269942.5,,43353.85,,16932.29,593.33,582.97,,Turkey
982,Turkey,1998,208365.34,271755.93,271755.93,,43468.35,,18699.09,593.87,629.28,,Turkey
983,Turkey,1999,206388.62,271357.96,271357.96,,44984.17,,18901.07,591.07,493.03,,Turkey
984,Turkey,2000,232549.19,296810.84,296810.84,115.66,44821.5,,18425.08,591.38,308.03,,Turkey
985,Turkey,2001,217469.5,278784.95,278784.95,232.0,44029.5,,16167.48,592.2,294.26,,Turkey
986,Turkey,2002,226365.41,287094.57,287094.57,417.19,42186.58,,17074.65,595.92,454.81,,Turkey
987,Turkey,2003,240902.46,303694.42,303694.42,628.8,43383.36,,17727.11,595.33,457.37,,Turkey
988,Turkey,2004,253172.08,316893.71,316893.71,909.37,42957.66,,18581.67,600.78,672.14,,Turkey
989,Turkey,2005,279130.74,345231.79,345231.79,1146.88,44591.04,,18983.96,559.97,819.2,,Turkey
990,Turkey,2006,302195.95,371320.55,371320.55,1424.19,46145.68,,20235.5,450.06,869.18,,Turkey
991,Turkey,2007,333166.42,403392.49,403392.49,1713.19,48509.6,,19094.98,,908.29,,Turkey
992,Turkey,2008,323536.55,393100.91,393100.91,1896.14,49560.39,,17303.54,,804.29,,Turkey
993,Turkey,2009,310580.7,382513.42,382513.42,2111.28,49378.73,,19676.22,,766.49,,Turkey
994,Turkey,2010,320356.66,395282.51,395282.51,3054.34,51415.14,,19620.89,,835.48,,Turkey
995,Turkey,2011,338094.41,415868.81,415868.81,3432.69,53909.35,,19525.88,,906.49,,Turkey
996,Turkey,2012,363126.01,447452.33,447452.33,4256.86,58027.01,,21116.02,,926.43,,Turkey
997,Turkey,2013,354961.04,438819.58,438819.58,4470.25,56177.47,,23210.82,,,,Turkey
998,Turkey,2014,382213.4,467550.38,467550.38,4916.55,57137.71,,23282.71,,,,Turkey
999,Ukraine,1990,693024.77,937954.2,937954.2,,189322.96,,55370.65,235.82,0.01,,Ukraine
1000,Ukraine,1991,621305.24,853207.75,853207.75,,181262.05,,50452.25,188.2,0.02,,Ukraine
1001,Ukraine,1992,577064.26,795446.96,795446.96,,171038.15,,47202.17,142.35,0.03,,Ukraine
1002,Ukraine,1993,498504.84,705376.58,705376.58,,162409.13,,44318.98,143.57,0.06,,Ukraine
1003,Ukraine,1994,409721.67,600339.98,600339.98,,152153.9,,38303.12,161.22,0.06,,Ukraine
1004,Ukraine,1995,380871.28,557047.94,557047.94,,140557.06,,35441.46,178.06,0.07,,Ukraine
1005,Ukraine,1996,344347.19,511686.63,511686.63,,136462.53,,30733.6,143.24,0.07,,Ukraine
1006,Ukraine,1997,334208.7,496219.98,496219.98,6.43,130581.38,,31276.34,146.99,0.13,,Ukraine
1007,Ukraine,1998,309207.66,464400.03,464400.03,12.51,127849.32,,27209.71,120.64,0.19,,Ukraine
1008,Ukraine,1999,284109.57,437037.55,437037.55,13.29,127576.18,,25236.4,101.81,0.31,,Ukraine
1009,Ukraine,2000,271429.77,413923.44,413923.44,20.01,118474.58,,23882.93,115.74,0.42,,Ukraine
1010,Ukraine,2001,290774.71,433832.55,433832.55,28.67,116709.22,,26207.41,112.08,0.46,,Ukraine
1011,Ukraine,2002,281939.35,417502.69,417502.69,63.8,109282.7,,26117.11,98.66,1.07,,Ukraine
1012,Ukraine,2003,285720.48,417556.11,417556.11,104.32,108659.24,,22992.93,77.15,1.99,,Ukraine
1013,Ukraine,2004,296753.73,427912.42,427912.42,185.5,105294.38,,25582.4,93.34,3.08,,Ukraine
1014,Ukraine,2005,307341.48,435660.66,435660.66,282.58,102337.83,,25551.97,142.33,4.47,,Ukraine
1015,Ukraine,2006,325586.62,452089.76,452089.76,398.82,100145.05,,25843.83,111.16,4.27,,Ukraine
1016,Ukraine,2007,330087.25,455267.44,455267.44,558.44,99448.15,,25013.69,154.71,5.2,,Ukraine
1017,Ukraine,2008,317063.84,442172.38,442172.38,641.58,94169.7,,30113.67,174.24,9.34,,Ukraine
1018,Ukraine,2009,269598.42,384651.79,384651.79,659.81,87087.77,,27242.48,53.95,9.37,,Ukraine
1019,Ukraine,2010,287113.61,401929.09,401929.09,738.98,86107.83,,27932.3,26.67,9.71,,Ukraine
1020,Ukraine,2011,301273.5,421635.99,421635.99,810.65,85863.58,,33679.85,,8.41,,Ukraine
1021,Ukraine,2012,295706.06,409531.35,409531.35,828.41,80865.7,,32120.19,,10.99,,Ukraine
1022,Ukraine,2013,287436.4,401066.97,401066.97,868.55,76562.53,,36186.94,,12.54,,Ukraine
1023,Ukraine,2014,247561.22,354347.54,354347.54,834.76,70341.5,,35593.65,,16.41,,Ukraine
1024,United Kingdom,1990,596398.47,,800107.49,14391.43,137607.98,0.42,48778.61,1651.53,1279.06,,United Kingdom
1025,United Kingdom,1991,604652.9,,809506.79,14991.05,138188.48,0.48,48970.21,1385.14,1318.54,,United Kingdom
1026,United Kingdom,1992,589306.02,,789105.26,15597.63,137621.81,0.55,44530.65,690.35,1358.25,,United Kingdom
1027,United Kingdom,1993,574764.75,,769256.78,16505.69,135765.42,0.63,40434.66,602.73,1182.9,,United Kingdom
1028,United Kingdom,1994,569458.36,,758318.47,17593.43,128718.7,0.73,40712.42,611.4,1223.44,,United Kingdom
1029,United Kingdom,1995,561202.95,,752463.92,19096.09,130927.7,0.83,39375.03,596.94,1264.37,,United Kingdom
1030,United Kingdom,1996,582752.78,,774225.78,20249.44,130231.72,0.96,39088.81,596.36,1305.7,,United Kingdom
1031,United Kingdom,1997,557608.78,,749518.8,23105.01,127791.87,1.1,39228.84,503.12,1280.08,,United Kingdom
1032,United Kingdom,1998,561253.72,,746962.02,20075.15,124554.19,1.27,39255.25,493.73,1328.72,,United Kingdom
1033,United Kingdom,1999,553827.55,,716299.41,11466.71,119677.35,1.46,29354.68,473.96,1497.7,,United Kingdom
1034,United Kingdom,2000,561280.87,,717578.79,9883.84,114951.35,1.69,29046.58,596.79,1817.67,,United Kingdom
1035,United Kingdom,2001,570697.03,,721026.37,10891.36,109992.68,1.03,27504.58,485.59,1454.1,,United Kingdom
1036,United Kingdom,2002,554227.64,,701004.69,11388.35,107770.76,1.03,25713.46,408.23,1495.23,,United Kingdom
1037,United Kingdom,2003,565475.52,,708085.03,12830.74,102618.54,0.95,25481.89,356.61,1320.77,,United Kingdom
1038,United Kingdom,2004,566598.16,,704090.1,11944.91,97862.75,0.59,26133.06,433.85,1116.77,,United Kingdom
1039,United Kingdom,2005,563783.54,,696041.64,13180.7,92488.44,0.29,25147.51,385.15,1056.02,,United Kingdom
1040,United Kingdom,2006,562083.09,,690320.99,14103.92,88581.94,0.29,24281.18,387.67,882.91,,United Kingdom
1041,United Kingdom,2007,553719.94,,678011.62,14562.77,84539.02,0.28,24066.0,287.84,835.78,,United Kingdom
1042,United Kingdom,2008,539916.16,,657980.87,15066.74,78550.17,0.27,23498.44,266.25,682.84,,United Kingdom
1043,United Kingdom,2009,489012.5,,599556.77,15796.44,72125.32,0.26,21832.32,197.33,592.61,,United Kingdom
1044,United Kingdom,2010,507595.71,,614166.74,16716.07,66694.94,0.27,22186.54,287.71,685.51,,United Kingdom
1045,United Kingdom,2011,464885.75,,565989.02,15235.31,63739.89,0.3,21105.77,416.94,605.06,,United Kingdom
1046,United Kingdom,2012,484388.09,,582946.59,15794.76,60961.91,0.33,20963.79,255.06,582.65,,United Kingdom
1047,United Kingdom,2013,475832.05,,570078.53,16177.98,56195.51,0.36,21072.69,318.74,481.2,,United Kingdom
1048,United Kingdom,2014,434794.56,,527500.75,16422.56,53890.86,0.4,21645.9,278.31,468.16,,United Kingdom
1049,United States of America,1990,5115095.05,6397144.49,6397144.49,46288.81,773854.9,47.92,406228.53,24255.67,31080.41,293.21,United States
1050,United States of America,1991,5064879.75,6330937.89,6330937.89,41618.41,777034.22,47.92,396113.66,20912.46,29764.56,566.9,United States
1051,United States of America,1992,5170274.35,6448677.15,6448677.15,47427.66,776869.79,47.92,404052.11,19481.09,29949.82,574.41,United States
1052,United States of America,1993,5284758.62,6566415.86,6566415.86,47500.26,764089.67,59.9,420503.19,19484.62,29432.65,586.94,United States
1053,United States of America,1994,5377492.22,6650296.6,6650296.6,53246.65,770450.43,65.89,402478.93,17965.0,28004.25,593.22,United States
1054,United States of America,1995,5441599.23,6748528.93,6748528.93,71273.93,767943.41,83.24,420585.75,18640.47,26638.17,1764.73,United States
1055,United States of America,1996,5630113.72,6949838.0,6949838.0,79480.07,762203.85,92.43,428923.51,19867.54,25919.91,3236.98,United States
1056,United States of America,1997,5704996.87,6999999.1,6999999.1,89069.67,747177.11,97.68,412317.98,18267.24,24168.02,3904.52,United States
1057,United States of America,1998,5744672.2,7066788.16,7066788.16,107654.32,737821.42,119.78,433872.65,16978.6,21198.47,4470.73,United States
1058,United States of America,1999,5818972.39,7090442.61,7090442.61,104296.9,723454.87,121.54,401147.41,16910.13,20942.28,4597.1,United States
1059,United States of America,2000,5992438.04,7258973.12,7258973.12,109295.25,717473.94,205.74,401400.22,15918.78,17873.92,4367.23,United States
1060,United States of America,2001,5894462.94,7140899.14,7140899.14,104598.38,712676.76,229.04,399324.42,8245.92,17075.05,4286.62,United States
1061,United States of America,2002,5935738.78,7185328.14,7185328.14,110780.09,706330.24,556.24,400917.9,10244.08,16076.55,4684.25,United States
1062,United States of America,2003,5982289.17,7224974.03,7224974.03,102658.09,708554.52,532.76,401775.31,8170.36,15818.28,5175.55,United States
1063,United States of America,2004,6096978.36,7369970.03,7369970.03,112065.34,704886.78,551.29,428554.17,6818.16,14563.82,5552.12,United States
1064,United States of America,2005,6122746.61,7378775.5,7378775.5,114052.75,717356.2,496.07,397551.72,6677.5,14015.69,5878.95,United States
1065,United States of America,2006,6042393.61,7316144.46,7316144.46,118056.26,719580.69,701.35,410066.19,6343.26,12764.32,6238.76,United States
1066,United States of America,2007,6121653.86,7422207.96,7422207.96,129425.75,725974.64,574.87,418985.16,7774.82,11222.88,6595.97,United States
1067,United States of America,2008,5923201.38,7216415.07,7216415.07,133551.13,738889.54,595.28,396777.09,6126.23,10312.75,6961.68,United States
1068,United States of America,2009,5488320.28,6776229.77,6776229.77,131990.99,735358.7,471.8,399500.49,3926.58,9297.94,7363.01,United States
1069,United States of America,2010,5688756.01,6985457.05,6985457.05,141633.8,722410.57,562.17,410314.24,4536.22,9481.91,7762.14,United States
1070,United States of America,2011,5559507.66,6865397.9,6865397.9,146080.6,717423.69,668.93,416521.78,7026.63,9990.15,8178.47,United States
1071,United States of America,2012,5349220.95,6643010.58,6643010.58,147249.75,714401.17,631.99,409285.58,6054.95,7581.76,8584.42,United States
1072,United States of America,2013,5502550.71,6799979.3,6799979.3,149922.39,721475.06,600.34,403349.75,5858.17,7229.07,8993.81,United States
1073,United States of America,2014,5556006.58,6870446.09,6870446.09,157237.34,730828.66,490.44,403501.46,5582.94,7348.78,9449.89,United States
